        2    0.217    0.109    0.529    0.264 __init__.py:7(<module>)
        1    0.008    0.008    0.516    0.516 tools.py:3(<module>)
        6    0.110    0.018    0.500    0.083 __init__.py:3(<module>)
   347742    0.496    0.000    0.496    0.000 {min}
      199    0.002    0.000    0.491    0.002 SK.py:212(minusGradLogLikelihoodParameters)
      199    0.001    0.000    0.489    0.002 SK.py:184(gradientLogLikelihood)
        1    0.048    0.048    0.484    0.484 colorbar.py:20(<module>)
     3282    0.112    0.000    0.476    0.000 six.py:209(exec_)
   883545    0.465    0.000    0.465    0.000 {method 'index' of 'list' objects}
   111075    0.462    0.000    0.462    0.000 citiBikeExampleConstrained2.py:258(<lambda>)
   202604    0.447    0.000    0.447    0.000 {method 'expandtabs' of 'str' objects}
        1    0.056    0.056    0.446    0.446 core.py:2(<module>)
   122265    0.424    0.000    0.424    0.000 {method 'extend' of 'list' objects}
        1    0.020    0.020    0.398    0.398 _distn_infrastructure.py:5(<module>)
        1    0.107    0.107    0.395    0.395 numeric.py:1(<module>)
        5    0.217    0.043    0.382    0.076 npyio.py:631(loadtxt)
     2388    0.008    0.000    0.373    0.000 matrixComputations.py:17(inverseComp)
   202614    0.353    0.000    0.353    0.000 {method 'splitlines' of 'str' objects}
       18    0.005    0.000    0.343    0.019 data.py:1(<module>)
        2    0.029    0.015    0.340    0.170 __init__.py:4(<module>)
        1    0.107    0.107    0.339    0.339 collections.py:10(<module>)
        4    0.003    0.001    0.339    0.085 utils.py:1(<module>)
    12006    0.069    0.000    0.314    0.000 citiBikeExampleConstrained2.py:326(projectGradientDescent)
        1    0.015    0.015    0.308    0.308 __init__.py:171(<module>)
        1    0.110    0.110    0.306    0.306 api.py:2(<module>)
        1    0.018    0.018    0.298    0.298 config.py:1(<module>)
        1    0.022    0.022    0.290    0.290 __init__.py:72(<module>)
   883508    0.276    0.000    0.276    0.000 misc.py:126(_datacopied)
        1    0.060    0.060    0.274    0.274 __init__.py:183(<module>)
        1    0.004    0.004    0.267    0.267 _root.py:7(<module>)
        1    0.009    0.009    0.263    0.263 nonlin.py:110(<module>)
        2    0.116    0.058    0.240    0.120 api.py:4(<module>)
     6328    0.201    0.000    0.237    0.000 _discrete_distns.py:440(_ppf)
        1    0.160    0.160    0.233    0.233 model.py:1(<module>)
        1    0.005    0.005    0.230    0.230 googlev3.py:3(<module>)
        1    0.136    0.136    0.229    0.229 collections.py:1(<module>)
        2    0.020    0.010    0.226    0.113 __init__.py:45(<module>)
        1    0.132    0.132    0.225    0.225 simulationPoissonProcess.py:53(generateSets)
        1    0.060    0.060    0.208    0.208 backend_bases.py:28(<module>)
        1    0.163    0.163    0.201    0.201 ar_model.py:1(<module>)
        1    0.122    0.122    0.200    0.200 plugintest.py:96(<module>)
        2    0.041    0.021    0.194    0.097 __init__.py:15(<module>)
        1    0.020    0.020    0.192    0.192 windows.py:1(<module>)
        1    0.020    0.020    0.177    0.177 _savitzky_golay.py:1(<module>)
        1    0.166    0.166    0.172    0.172 __init__.py:69(<module>)
        1    0.164    0.164    0.165    0.165 cbook.py:7(<module>)
        1    0.043    0.043    0.160    0.160 __init__.py:105(<module>)
        5    0.037    0.007    0.159    0.032 __init__.py:2(<module>)
        1    0.128    0.128    0.157    0.157 __init__.py:138(<module>)
    12006    0.057    0.000    0.152    0.000 citiBikeExampleConstrained2.py:517(conditionOpt)
        1    0.128    0.128    0.147    0.147 diagnostic.py:2(<module>)
        1    0.000    0.000    0.146    0.146 files.py:6(createNewFilesFunc)
    10438    0.034    0.000    0.144    0.000 inspect.py:804(getargspec)
210100/210091    0.130    0.000    0.141    0.000 {method 'join' of 'str' objects}
    12006    0.021    0.000    0.134    0.000 fromnumeric.py:2142(amin)
        1    0.009    0.009    0.126    0.126 __init__.py:582(<module>)
        1    0.060    0.060    0.121    0.121 subprocess.py:14(<module>)
        1    0.066    0.066    0.120    0.120 _internal.py:6(<module>)
      485    0.002    0.000    0.119    0.000 re.py:226(_compile)
      168    0.001    0.000    0.116    0.001 sre_compile.py:493(compile)
        1    0.004    0.004    0.115    0.115 groupby.py:1(<module>)
        1    0.005    0.005    0.115    0.115 figure.py:12(<module>)
      160    0.000    0.000    0.115    0.001 re.py:188(compile)
    12006    0.010    0.000    0.113    0.000 _methods.py:28(_amin)
        1    0.004    0.004    0.112    0.112 _continuous_distns.py:5(<module>)
       20    0.109    0.005    0.109    0.005 {method 'close' of 'file' objects}
        1    0.002    0.002    0.108    0.108 basic.py:5(<module>)
        1    0.107    0.107    0.108    0.108 case.py:1(<module>)
       86    0.004    0.000    0.107    0.001 _distn_infrastructure.py:1399(__init__)
        1    0.001    0.001    0.106    0.106 orthogonal.py:79(<module>)
        1    0.062    0.062    0.105    0.105 __init__.py:155(<module>)
        1    0.003    0.003    0.103    0.103 _subplots.py:1(<module>)
        1    0.021    0.021    0.103    0.103 web.py:4(<module>)
        1    0.022    0.022    0.102    0.102 generalized_linear_model.py:19(<module>)
     6419    0.073    0.000    0.100    0.000 _distn_infrastructure.py:763(_argcheck)
        1    0.038    0.038    0.099    0.099 frame.py:10(<module>)
   265789    0.096    0.000    0.096    0.000 {abs}
        1    0.028    0.028    0.095    0.095 mixed_linear_model.py:97(<module>)
        1    0.052    0.052    0.095    0.095 _axes.py:1(<module>)
    12006    0.019    0.000    0.095    0.000 fromnumeric.py:2058(amax)
        1    0.058    0.058    0.093    0.093 __init__.py:203(<module>)
        1    0.093    0.093    0.093    0.093 heapq.py:31(<module>)
        1    0.073    0.073    0.092    0.092 loader.py:8(<module>)
        1    0.077    0.077    0.092    0.092 exc.py:7(<module>)
        4    0.018    0.005    0.089    0.022 api.py:3(<module>)
    10438    0.057    0.000    0.083    0.000 inspect.py:744(getargs)
        1    0.005    0.005    0.082    0.082 config_init.py:11(<module>)
        1    0.057    0.057    0.082    0.082 webbrowser.py:2(<module>)
        1    0.004    0.004    0.081    0.081 point.py:4(<module>)
        1    0.015    0.015    0.081    0.081 utils.py:4(<module>)
    10022    0.080    0.000    0.080    0.000 {method 'replace' of 'str' objects}
        1    0.041    0.041    0.080    0.080 __init__.py:11(<module>)
        1    0.000    0.000    0.078    0.078 __init__.py:943(rc_params)
        1    0.064    0.064    0.078    0.078 generalized_estimating_equations.py:24(<module>)
        1    0.077    0.077    0.077    0.077 __init__.py:44(<module>)
    12035    0.009    0.000    0.077    0.000 _methods.py:25(_amax)
        1    0.043    0.043    0.075    0.075 widgets.py:10(<module>)
        1    0.073    0.073    0.074    0.074 kde.py:13(<module>)
        1    0.073    0.073    0.074    0.074 result.py:1(<module>)
      474    0.074    0.000    0.074    0.000 {posix.stat}
        1    0.045    0.045    0.073    0.073 textpath.py:3(<module>)
   435563    0.073    0.000    0.073    0.000 {method 'lstrip' of 'str' objects}
        1    0.037    0.037    0.071    0.071 var_model.py:7(<module>)
     3263    0.011    0.000    0.070    0.000 _distn_infrastructure.py:611(__init__)
        1    0.032    0.032    0.069    0.069 format.py:2(<module>)
        1    0.049    0.049    0.069    0.069 discrete_model.py:17(<module>)
     1029    0.044    0.000    0.069    0.000 SK.py:61(K)
    17316    0.068    0.000    0.068    0.000 citiBikeExampleConstrained2.py:235(<lambda>)
        1    0.034    0.034    0.067    0.067 artist.py:1(<module>)
        1    0.066    0.066    0.067    0.067 collections.py:3(<module>)
    16557    0.066    0.000    0.066    0.000 citiBikeExampleConstrained2.py:304(<lambda>)
      199    0.002    0.000    0.066    0.000 SK.py:200(minuslogLikelihoodParameters)
        1    0.047    0.047    0.064    0.064 tempfile.py:18(<module>)
        2    0.008    0.004    0.063    0.032 util.py:3(<module>)
      772    0.003    0.000    0.063    0.000 SK.py:90(A)
        1    0.000    0.000    0.062    0.062 __init__.py:724(matplotlib_fname)
        1    0.010    0.010    0.061    0.061 elregress.py:14(<module>)
        1    0.059    0.059    0.061    0.061 subprocess.py:387(<module>)
        1    0.024    0.024    0.059    0.059 arrayprint.py:5(<module>)
    13058    0.056    0.000    0.059    0.000 function_base.py:1644(__init__)
      168    0.001    0.000    0.059    0.000 sre_parse.py:675(parse)
     3377    0.015    0.000    0.059    0.000 utils.py:113(deprecate)
    11321    0.017    0.000    0.058    0.000 npyio.py:792(split_line)
        4    0.000    0.000    0.058    0.015 __init__.py:580(_get_config_or_cache_dir)
  577/168    0.003    0.000    0.057    0.000 sre_parse.py:301(_parse_sub)
  807/186    0.020    0.000    0.056    0.000 sre_parse.py:379(_parse)
      168    0.000    0.000    0.055    0.000 sre_compile.py:478(_code)
        1    0.003    0.003    0.052    0.052 gbq.py:1(<module>)
        1    0.024    0.024    0.052    0.052 KG.py:1(<module>)
        1    0.051    0.051    0.052    0.052 descriptive.py:17(<module>)
        2    0.052    0.026    0.052    0.026 __init__.py:10(<module>)
        2    0.021    0.010    0.051    0.026 __init__.py:38(<module>)
        1    0.000    0.000    0.050    0.050 __init__.py:3074(_initialize_master_working_set)
        1    0.002    0.002    0.050    0.050 parser.py:5(<module>)
        2    0.000    0.000    0.050    0.025 __init__.py:3059(_call_aside)
        1    0.002    0.002    0.049    0.049 empirical_distribution.py:3(<module>)
        1    0.023    0.023    0.048    0.048 feedparser.py:20(<module>)
        1    0.034    0.034    0.048    0.048 uuid.py:45(<module>)
        1    0.038    0.038    0.048    0.048 files.py:24(writeTraining)
        3    0.000    0.000    0.048    0.016 machar.py:97(__init__)
        1    0.004    0.004    0.047    0.047 __init__.py:157(<module>)
        1    0.011    0.011    0.047    0.047 compat.py:3(<module>)
        3    0.013    0.004    0.047    0.016 machar.py:113(_do_init)
        4    0.000    0.000    0.047    0.012 __init__.py:220(_is_writable_dir)
 1586/168    0.012    0.000    0.045    0.000 sre_compile.py:32(_compile)
        2    0.000    0.000    0.045    0.022 __init__.py:615(_get_configdir)
        1    0.030    0.030    0.042    0.042 kernel_density.py:29(<module>)
        1    0.035    0.035    0.042    0.042 interpolate.py:2(<module>)
     3377    0.034    0.000    0.042    0.000 utils.py:69(__call__)
       51    0.000    0.000    0.041    0.001 genericpath.py:15(exists)
        1    0.038    0.038    0.039    0.039 family.py:3(<module>)
    23695    0.039    0.000    0.039    0.000 {method 'split' of 'str' objects}
        1    0.015    0.015    0.037    0.037 cont2discrete.py:3(<module>)
     6328    0.036    0.000    0.036    0.000 {numpy.core.multiarray.where}
        1    0.035    0.035    0.035    0.035 fromnumeric.py:3(<module>)
     3850    0.005    0.000    0.034    0.000 fromnumeric.py:1772(any)
        1    0.005    0.005    0.032    0.032 generic.py:2(<module>)
        1    0.015    0.015    0.031    0.031 contour.py:4(<module>)
        1    0.019    0.019    0.031    0.031 formulatools.py:1(<module>)
        1    0.030    0.030    0.031    0.031 transforms.py:30(<module>)
       26    0.000    0.000    0.031    0.001 __init__.py:673(add_entry)
        1    0.000    0.000    0.030    0.030 decomp_schur.py:1(<module>)
        2    0.000    0.000    0.030    0.015 getlimits.py:126(_init)
22632/11316    0.029    0.000    0.030    0.000 npyio.py:776(pack_items)
       23    0.000    0.000    0.030    0.001 getlimits.py:93(__new__)
        1    0.007    0.007    0.029    0.029 inspect.py:25(<module>)
        2    0.009    0.004    0.029    0.014 index.py:2(<module>)
        1    0.008    0.008    0.028    0.028 pilutil.py:7(<module>)
        4    0.000    0.000    0.028    0.007 tempfile.py:472(TemporaryFile)
      592    0.002    0.000    0.028    0.000 sre_compile.py:178(_compile_charset)
        1    0.004    0.004    0.027    0.027 internals.py:1(<module>)
       92    0.002    0.000    0.027    0.000 __init__.py:2088(find_on_path)
        1    0.022    0.022    0.026    0.026 rcsetup.py:15(<module>)
        1    0.023    0.023    0.026    0.026 stat.py:6(<module>)
     1990    0.003    0.000    0.026    0.000 fromnumeric.py:1233(trace)
        1    0.012    0.012    0.025    0.025 multicomp.py:6(<module>)
