docks,bickes,ID,total,bikes/total,latitude,longitude,streets
15.7368421053,19.2631578947,298.0,35.0,0.55037593985,40.68683208,-73.9796772,3 Ave & Schermerhorn St
16.7368421053,19.2631578947,310.0,36.0,0.535087719298,40.68926942,-73.98912867,State St & Smith St
3.73684210526,19.2631578947,313.0,23.0,0.837528604119,40.69610226,-73.96751037,Washington Ave & Park Ave
19.7368421053,19.2631578947,314.0,39.0,0.493927125506,40.69383,-73.990539,Cadman Plaza West & Montague St
7.73684210526,19.2631578947,321.0,27.0,0.713450292398,40.69991755,-73.98971773,Cadman Plaza E & Red Cross Pl
11.7368421053,19.2631578947,322.0,31.0,0.621392190153,40.696192,-73.991218,Clinton St & Tillary St
19.7368421053,19.2631578947,323.0,39.0,0.493927125506,40.69236178,-73.98631746,Lawrence St & Willoughby St
31.7368421053,19.2631578947,324.0,51.0,0.377708978328,40.689888,-73.981013,DeKalb Ave & Hudson Ave
4.73684210526,19.2631578947,332.0,24.0,0.802631578947,40.71219906,-73.97948148,Cherry St
3.73684210526,19.2631578947,343.0,23.0,0.837528604119,40.69794,-73.96986848,Clinton Ave & Flushing Ave
3.73684210526,19.2631578947,344.0,23.0,0.837528604119,40.6851443,-73.95380904,Monroe St & Bedford Ave
7.73684210526,19.2631578947,353.0,27.0,0.713450292398,40.68539567,-73.97431458,S Portland Ave & Hanson Pl
3.73684210526,19.2631578947,354.0,23.0,0.837528604119,40.69363137,-73.96223558,Emerson Pl & Myrtle Ave
7.73684210526,19.2631578947,364.0,27.0,0.713450292398,40.68900443,-73.96023854,Lafayette Ave & Classon Ave
11.7368421053,19.2631578947,365.0,31.0,0.621392190153,40.68223166,-73.9614583,Fulton St & Grand Ave
13.7368421053,19.2631578947,366.0,33.0,0.583732057416,40.693261,-73.968896,Clinton Ave & Myrtle Ave
7.73684210526,19.2631578947,372.0,27.0,0.713450292398,40.694528,-73.958089,Franklin Ave & Myrtle Ave
-0.263157894737,19.2631578947,373.0,19.0,1.01385041551,40.69331716,-73.95381995,Willoughby Ave & Walworth St
7.73684210526,19.2631578947,389.0,27.0,0.713450292398,40.71044554,-73.96525063,Broadway & Berry St
11.7368421053,19.2631578947,390.0,31.0,0.621392190153,40.69221589,-73.9842844,Duffield St & Willoughby St
11.7368421053,19.2631578947,391.0,31.0,0.621392190153,40.69760127,-73.99344559,Clark St & Henry St
12.7368421053,19.2631578947,392.0,32.0,0.601973684211,40.695065,-73.987167,Jay St & Tech Pl
10.7368421053,19.2631578947,395.0,30.0,0.642105263158,40.68807003,-73.98410637,Bond St & Schermerhorn St
5.73684210526,19.2631578947,396.0,25.0,0.770526315789,40.680342423,-73.9557689392,Lefferts Pl & Franklin Ave
7.73684210526,19.2631578947,397.0,27.0,0.713450292398,40.68415748,-73.96922273,Fulton St & Clermont Ave
11.7368421053,19.2631578947,398.0,31.0,0.621392190153,40.69165183,-73.9999786,Atlantic Ave & Furman St
6.73684210526,19.2631578947,399.0,26.0,0.740890688259,40.68851534,-73.9647628,Lafayette Ave & St James Pl
14.7368421053,19.2631578947,406.0,34.0,0.566563467492,40.69512845,-73.99595065,Hicks St & Montague St
23.7368421053,19.2631578947,407.0,43.0,0.447980416157,40.700469,-73.991454,Henry St & Poplar St
-0.263157894737,19.2631578947,409.0,19.0,1.01385041551,40.6906495,-73.95643107,DeKalb Ave & Skillman St
4.73684210526,19.2631578947,414.0,24.0,0.802631578947,40.70281858,-73.98765762,Pearl St & Anchorage Pl
11.7368421053,19.2631578947,416.0,31.0,0.621392190153,40.68753406,-73.97265183,Cumberland St & Lafayette Ave
3.73684210526,19.2631578947,418.0,23.0,0.837528604119,40.70224,-73.982578,Front St & Gold St
3.73684210526,19.2631578947,419.0,23.0,0.837528604119,40.69580705,-73.97355569,Carlton Ave & Park Ave
3.73684210526,19.2631578947,420.0,23.0,0.837528604119,40.68764484,-73.96968902,Clermont Ave & Lafayette Ave
-0.263157894737,19.2631578947,421.0,19.0,1.01385041551,40.69573398,-73.97129668,Clermont Ave & Park Ave
7.73684210526,19.2631578947,430.0,27.0,0.713450292398,40.7014851,-73.98656928,York St & Jay St
10.7368421053,19.2631578947,431.0,30.0,0.642105263158,40.68864636,-73.98263429,Hanover Pl & Livingston St
7.73684210526,19.2631578947,436.0,27.0,0.713450292398,40.68216564,-73.95399026,Hancock St & Bedford Ave
4.73684210526,19.2631578947,437.0,24.0,0.802631578947,40.6809833854,-73.9500479759,Macon St & Nostrand Ave
3.73684210526,19.2631578947,443.0,23.0,0.837528604119,40.70853074,-73.96408963,Bedford Ave & S 9th St
3.73684210526,19.2631578947,460.0,23.0,0.837528604119,40.71285887,-73.96590294,S 4 St & Wythe Ave
14.7368421053,19.2631578947,467.0,34.0,0.566563467492,40.68312489,-73.97895137,Dean St & 4 Ave
11.7368421053,19.2631578947,471.0,31.0,0.621392190153,40.71286844,-73.95698119,Grand St & Havemeyer St
5.73684210526,19.2631578947,481.0,25.0,0.770526315789,40.71260486,-73.96264403,S 3 St & Bedford Ave
23.7368421053,19.2631578947,532.0,43.0,0.447980416157,40.710451,-73.960876,S 5 Pl & S 4 St
11.7368421053,19.2631578947,539.0,31.0,0.621392190153,40.71534825,-73.96024116,Metropolitan Ave & Bedford Ave
10.7368421053,19.2631578947,2000.0,30.0,0.642105263158,40.70255088,-73.98940236,Front St & Washington St
